Time_(days)	Vit_conc_(percent)
657	71.2952437528
657	71.2952437528
657	71.2952437528
657	71.2952437528
658	71.2585377205
658	71.2585377205
658	71.2585377205
658	71.2585377205
658	71.2585377205
658	71.2585377205
658	71.2585377205
658	71.2585377205
658	71.2585377205
658	71.2585377205
659	71.2218505862
659	71.2218505862
659	71.2218505862
659	71.2218505862
659	71.2218505862
659	71.2218505862
659	71.2218505862
659	71.2218505862
659	71.2218505862
659	71.2218505862
660	71.1851823401
660	71.1851823401
660	71.1851823401
660	71.1851823401
660	71.1851823401
660	71.1851823401
660	71.1851823401
660	71.1851823401
660	71.1851823401
660	71.1851823401
661	71.1485329724
661	71.1485329724
661	71.1485329724
661	71.1485329724
661	71.1485329724
661	71.1485329724
661	71.1485329724
661	71.1485329724
661	71.1485329724
661	71.1485329724
662	71.1119024736
662	71.1119024736
662	71.1119024736
662	71.1119024736
662	71.1119024736
662	71.1119024736
662	71.1119024736
662	71.1119024736
662	71.1119024736
662	71.1119024736
663	71.0752908338
663	71.0752908338
663	71.0752908338
663	71.0752908338
663	71.0752908338
663	71.0752908338
663	71.0752908338
663	71.0752908338
663	71.0752908338
663	71.0752908338
664	71.0386980433
664	71.0386980433
664	71.0386980433
664	71.0386980433
664	71.0386980433
664	71.0386980433
664	71.0386980433
664	71.0386980433
664	71.0386980433
664	71.0386980433
665	71.0021240924
665	71.0021240924
665	71.0021240924
665	71.0021240924
665	71.0021240924
665	71.0021240924
665	71.0021240924
665	71.0021240924
665	71.0021240924
665	71.0021240924
666	70.9655689715
666	70.9655689715
666	70.9655689715
666	70.9655689715
666	70.9655689715
666	70.9655689715
666	70.9655689715
666	70.9655689715
666	70.9655689715
666	70.9655689715
667	70.9290326708
667	70.9290326708
667	70.9290326708
667	70.9290326708
667	70.9290326708
667	70.9290326708
667	70.9290326708
667	70.9290326708
667	70.9290326708
667	70.9290326708
668	70.8925151807
668	70.8925151807
668	70.8925151807
668	70.8925151807
668	70.8925151807
668	70.8925151807
668	70.8925151807
668	70.8925151807
668	70.8925151807
668	70.8925151807
669	70.8560164914
669	70.8560164914
669	70.8560164914
669	70.8560164914
669	70.8560164914
669	70.8560164914
669	70.8560164914
669	70.8560164914
669	70.8560164914
669	70.8560164914
670	70.8195365933
670	70.8195365933
670	70.8195365933
670	70.8195365933
670	70.8195365933
670	70.8195365933
670	70.8195365933
670	70.8195365933
670	70.8195365933
670	70.8195365933
671	70.7830754767
671	70.7830754767
671	70.7830754767
671	70.7830754767
671	70.7830754767
671	70.7830754767
671	70.7830754767
671	70.7830754767
671	70.7830754767
671	70.7830754767
672	70.746633132
672	70.746633132
672	70.746633132
672	70.746633132
672	70.746633132
672	70.746633132
672	70.746633132
672	70.746633132
672	70.746633132
672	70.746633132
673	70.7102095494
673	70.7102095494
673	70.7102095494
673	70.7102095494
673	70.7102095494
673	70.7102095494
673	70.7102095494
673	70.7102095494
673	70.7102095494
673	70.7102095494
674	70.6738047194
674	70.6738047194
674	70.6738047194
674	70.6738047194
674	70.6738047194
674	70.6738047194
674	70.6738047194
674	70.6738047194
674	70.6738047194
674	70.6738047194
675	70.6374186322
675	70.6374186322
675	70.6374186322
675	70.6374186322
675	70.6374186322
675	70.6374186322
675	70.6374186322
675	70.6374186322
675	70.6374186322
675	70.6374186322
676	70.6010512782
676	70.6010512782
676	70.6010512782
676	70.6010512782
676	70.6010512782
676	70.6010512782
676	70.6010512782
676	70.6010512782
676	70.6010512782
676	70.6010512782
677	70.5647026478
677	70.5647026478
677	70.5647026478
677	70.5647026478
677	70.5647026478
677	70.5647026478
677	70.5647026478
677	70.5647026478
677	70.5647026478
677	70.5647026478
678	70.5283727313
678	70.5283727313
678	70.5283727313
678	70.5283727313
678	70.5283727313
678	70.5283727313
678	70.5283727313
678	70.5283727313
678	70.5283727313
678	70.5283727313
679	70.4920615191
679	70.4920615191
679	70.4920615191
679	70.4920615191
679	70.4920615191
679	70.4920615191
679	70.4920615191
679	70.4920615191
679	70.4920615191
679	70.4920615191
680	70.4557690016
680	70.4557690016
680	70.4557690016
680	70.4557690016
680	70.4557690016
680	70.4557690016
680	70.4557690016
680	70.4557690016
680	70.4557690016
680	70.4557690016
681	70.4194951691
681	70.4194951691
681	70.4194951691
681	70.4194951691
681	70.4194951691
681	70.4194951691
681	70.4194951691
681	70.4194951691
681	70.4194951691
681	70.4194951691
682	70.383240012
682	70.383240012
682	70.383240012
682	70.383240012
682	70.383240012
682	70.383240012
682	70.383240012
682	70.383240012
682	70.383240012
682	70.383240012
683	70.3470035208
683	70.3470035208
683	70.3470035208
683	70.3470035208
683	70.3470035208
683	70.3470035208
683	70.3470035208
683	70.3470035208
683	70.3470035208
683	70.3470035208
684	70.3107856857
684	70.3107856857
684	70.3107856857
684	70.3107856857
684	70.3107856857
684	70.3107856857
684	70.3107856857
684	70.3107856857
684	70.3107856857
684	70.3107856857
685	70.2745864972
685	70.2745864972
685	70.2745864972
685	70.2745864972
685	70.2745864972
685	70.2745864972
685	70.2745864972
685	70.2745864972
685	70.2745864972
685	70.2745864972
686	70.2384059457
686	70.2384059457
686	70.2384059457
686	70.2384059457
686	70.2384059457
686	70.2384059457
686	70.2384059457
686	70.2384059457
686	70.2384059457
686	70.2384059457
687	70.2022440216
687	70.2022440216
687	70.2022440216
687	70.2022440216
687	70.2022440216
687	70.2022440216
687	70.2022440216
687	70.2022440216
687	70.2022440216
687	70.2022440216
688	70.1661007153
688	70.1661007153
688	70.1661007153
688	70.1661007153
688	70.1661007153
688	70.1661007153
688	70.1661007153
688	70.1661007153
688	70.1661007153
688	70.1661007153
689	70.1299760172
689	70.1299760172
689	70.1299760172
689	70.1299760172
689	70.1299760172
689	70.1299760172
689	70.1299760172
689	70.1299760172
689	70.1299760172
689	70.1299760172
690	70.0938699178
690	70.0938699178
690	70.0938699178
690	70.0938699178
690	70.0938699178
690	70.0938699178
690	70.0938699178
690	70.0938699178
690	70.0938699178
690	70.0938699178
691	70.0577824074
691	70.0577824074
691	70.0577824074
691	70.0577824074
691	70.0577824074
691	70.0577824074
691	70.0577824074
691	70.0577824074
691	70.0577824074
691	70.0577824074
692	70.0217134765
692	70.0217134765
692	70.0217134765
692	70.0217134765
692	70.0217134765
692	70.0217134765
692	70.0217134765
692	70.0217134765
692	70.0217134765
692	70.0217134765
693	69.9856631155
693	69.9856631155
693	69.9856631155
693	69.9856631155
693	69.9856631155
693	69.9856631155
693	69.9856631155
693	69.9856631155
693	69.9856631155
693	69.9856631155
694	69.9496313149
694	69.9496313149
694	69.9496313149
694	69.9496313149
694	69.9496313149
694	69.9496313149
694	69.9496313149
694	69.9496313149
694	69.9496313149
694	69.9496313149
695	69.9136180651
695	69.9136180651
695	69.9136180651
695	69.9136180651
695	69.9136180651
695	69.9136180651
695	69.9136180651
695	69.9136180651
695	69.9136180651
695	69.9136180651
696	69.8776233566
696	69.8776233566
696	69.8776233566
696	69.8776233566
696	69.8776233566
696	69.8776233566
696	69.8776233566
696	69.8776233566
696	69.8776233566
696	69.8776233566
697	69.8416471797
697	69.8416471797
697	69.8416471797
697	69.8416471797
697	69.8416471797
697	69.8416471797
697	69.8416471797
697	69.8416471797
697	69.8416471797
697	69.8416471797
698	69.8056895251
698	69.8056895251
698	69.8056895251
698	69.8056895251
698	69.8056895251
698	69.8056895251
698	69.8056895251
698	69.8056895251
698	69.8056895251
698	69.8056895251
699	69.769750383
699	69.769750383
699	69.769750383
699	69.769750383
699	69.769750383
699	69.769750383
699	69.769750383
699	69.769750383
699	69.769750383
699	69.769750383
700	69.7338297441
700	69.7338297441
700	69.7338297441
700	69.7338297441
700	69.7338297441
700	69.7338297441
700	69.7338297441
700	69.7338297441
700	69.7338297441
700	69.7338297441
701	69.6979275988
701	69.6979275988
701	69.6979275988
701	69.6979275988
701	69.6979275988
701	69.6979275988
701	69.6979275988
701	69.6979275988
701	69.6979275988
701	69.6979275988
702	69.6620439375
702	69.6620439375
702	69.6620439375
702	69.6620439375
702	69.6620439375
702	69.6620439375
702	69.6620439375
702	69.6620439375
702	69.6620439375
702	69.6620439375
703	69.6261787507
703	69.6261787507
703	69.6261787507
703	69.6261787507
703	69.6261787507
703	69.6261787507
703	69.6261787507
703	69.6261787507
703	69.6261787507
703	69.6261787507
704	69.590332029
704	69.590332029
704	69.590332029
704	69.590332029
704	69.590332029
704	69.590332029
704	69.590332029
704	69.590332029
704	69.590332029
704	69.590332029
705	69.5545037628
705	69.5545037628
705	69.5545037628
705	69.5545037628
705	69.5545037628
705	69.5545037628
705	69.5545037628
705	69.5545037628
705	69.5545037628
705	69.5545037628
706	69.5186939427
706	69.5186939427
706	69.5186939427
706	69.5186939427
706	69.5186939427
706	69.5186939427
706	69.5186939427
706	69.5186939427
706	69.5186939427
706	69.5186939427
707	69.482902559
707	69.482902559
707	69.482902559
707	69.482902559
707	69.482902559
707	69.482902559
707	69.482902559
707	69.482902559
707	69.482902559
707	69.482902559
708	69.4471296024
708	69.4471296024
708	69.4471296024
708	69.4471296024
708	69.4471296024
708	69.4471296024
708	69.4471296024
708	69.4471296024
708	69.4471296024
708	69.4471296024
709	69.4113750633
709	69.4113750633
709	69.4113750633
709	69.4113750633
709	69.4113750633
709	69.4113750633
709	69.4113750633
709	69.4113750633
709	69.4113750633
709	69.4113750633
710	69.3756389323
710	69.3756389323
710	69.3756389323
710	69.3756389323
710	69.3756389323
710	69.3756389323
710	69.3756389323
710	69.3756389323
710	69.3756389323
710	69.3756389323
711	69.3399211999
711	69.3399211999
711	69.3399211999
711	69.3399211999
711	69.3399211999
711	69.3399211999
711	69.3399211999
711	69.3399211999
711	69.3399211999
711	69.3399211999
712	69.3042218565
712	69.3042218565
712	69.3042218565
712	69.3042218565
712	69.3042218565
712	69.3042218565
712	69.3042218565
712	69.3042218565
712	69.3042218565
712	69.3042218565
713	69.2685408929
713	69.2685408929
713	69.2685408929
713	69.2685408929
713	69.2685408929
713	69.2685408929
713	69.2685408929
713	69.2685408929
713	69.2685408929
713	69.2685408929
714	69.2328782994
714	69.2328782994
714	69.2328782994
714	69.2328782994
714	69.2328782994
714	69.2328782994
714	69.2328782994
714	69.2328782994
714	69.2328782994
714	69.2328782994
715	69.1972340666
715	69.1972340666
715	69.1972340666
715	69.1972340666
715	69.1972340666
715	69.1972340666
715	69.1972340666
715	69.1972340666
715	69.1972340666
715	69.1972340666
716	69.1616081851
716	69.1616081851
716	69.1616081851
716	69.1616081851
716	69.1616081851
716	69.1616081851
716	69.1616081851
716	69.1616081851
716	69.1616081851
716	69.1616081851
717	69.1260006454
717	69.1260006454
717	69.1260006454
717	69.1260006454
717	69.1260006454
717	69.1260006454
717	69.1260006454
717	69.1260006454
717	69.1260006454
717	69.1260006454
718	69.0904114381
718	69.0904114381
718	69.0904114381
718	69.0904114381
718	69.0904114381
718	69.0904114381
718	69.0904114381
718	69.0904114381
718	69.0904114381
718	69.0904114381
719	69.0548405538
719	69.0548405538
719	69.0548405538
719	69.0548405538
719	69.0548405538
719	69.0548405538
719	69.0548405538
719	69.0548405538
719	69.0548405538
719	69.0548405538
720	69.0192879829
720	69.0192879829
720	69.0192879829
720	69.0192879829
720	69.0192879829
720	69.0192879829
720	69.0192879829
720	69.0192879829
720	69.0192879829
720	69.0192879829
721	68.9837537162
721	68.9837537162
721	68.9837537162
721	68.9837537162
721	68.9837537162
721	68.9837537162
721	68.9837537162
721	68.9837537162
721	68.9837537162
721	68.9837537162
722	68.9482377441
722	68.9482377441
722	68.9482377441
722	68.9482377441
722	68.9482377441
722	68.9482377441
722	68.9482377441
722	68.9482377441
722	68.9482377441
722	68.9482377441
723	68.9127400572
723	68.9127400572
723	68.9127400572
723	68.9127400572
723	68.9127400572
723	68.9127400572
723	68.9127400572
723	68.9127400572
723	68.9127400572
723	68.9127400572
724	68.8772606462
724	68.8772606462
724	68.8772606462
724	68.8772606462
724	68.8772606462
724	68.8772606462
724	68.8772606462
724	68.8772606462
724	68.8772606462
724	68.8772606462
725	68.8417995015
725	68.8417995015
725	68.8417995015
725	68.8417995015
725	68.8417995015
725	68.8417995015
725	68.8417995015
725	68.8417995015
725	68.8417995015
725	68.8417995015
726	68.8063566139
726	68.8063566139
726	68.8063566139
726	68.8063566139
726	68.8063566139
726	68.8063566139
726	68.8063566139
726	68.8063566139
726	68.8063566139
726	68.8063566139
727	68.7709319739
727	68.7709319739
727	68.7709319739
727	68.7709319739
727	68.7709319739
727	68.7709319739
727	68.7709319739
727	68.7709319739
727	68.7709319739
727	68.7709319739
728	68.7355255721
728	68.7355255721
728	68.7355255721
728	68.7355255721
728	68.7355255721
728	68.7355255721
728	68.7355255721
728	68.7355255721
728	68.7355255721
728	68.7355255721
729	68.7001373991
729	68.7001373991
729	68.7001373991
729	68.7001373991
729	68.7001373991
729	68.7001373991
729	68.7001373991
729	68.7001373991
729	68.7001373991
729	68.7001373991
730	68.6647674456
730	68.6647674456
730	68.6647674456
730	68.6647674456
730	68.6647674456
730	68.6647674456
730	68.6647674456
730	68.6647674456
730	68.6647674456
730	68.6647674456
731	68.6194210166
731	68.6194210166
731	68.6194210166
731	68.6194210166
731	68.6194210166
731	68.6194210166
731	68.6194210166
731	68.6194210166
731	68.6194210166
731	68.6194210166
732	68.5741045345
732	68.5741045345
732	68.5741045345
732	68.5741045345
732	68.5741045345
732	68.5741045345
732	68.5741045345
732	68.5741045345
732	68.5741045345
732	68.5741045345
733	68.5288179796
733	68.5288179796
733	68.5288179796
733	68.5288179796
733	68.5288179796
733	68.5288179796
733	68.5288179796
733	68.5288179796
733	68.5288179796
733	68.5288179796
734	68.4835613321
734	68.4835613321
734	68.4835613321
734	68.4835613321
734	68.4835613321
734	68.4835613321
734	68.4835613321
734	68.4835613321
734	68.4835613321
734	68.4835613321
735	68.4383345722
735	68.4383345722
735	68.4383345722
735	68.4383345722
735	68.4383345722
735	68.4383345722
735	68.4383345722
735	68.4383345722
735	68.4383345722
735	68.4383345722
736	68.3931376803
736	68.3931376803
736	68.3931376803
736	68.3931376803
736	68.3931376803
736	68.3931376803
736	68.3931376803
736	68.3931376803
736	68.3931376803
736	68.3931376803
737	68.3479706364
737	68.3479706364
737	68.3479706364
737	68.3479706364
737	68.3479706364
737	68.3479706364
737	68.3479706364
737	68.3479706364
737	68.3479706364
737	68.3479706364
738	68.3028334211
738	68.3028334211
738	68.3028334211
738	68.3028334211
738	68.3028334211
738	68.3028334211
738	68.3028334211
738	68.3028334211
738	68.3028334211
738	68.3028334211
739	68.2577260145
739	68.2577260145
739	68.2577260145
739	68.2577260145
739	68.2577260145
739	68.2577260145
739	68.2577260145
739	68.2577260145
739	68.2577260145
739	68.2577260145
740	68.212648397
740	68.212648397
740	68.212648397
740	68.212648397
740	68.212648397
740	68.212648397
740	68.212648397
740	68.212648397
740	68.212648397
740	68.212648397
741	68.1676005488
741	68.1676005488
741	68.1676005488
741	68.1676005488
741	68.1676005488
741	68.1676005488
741	68.1676005488
741	68.1676005488
741	68.1676005488
741	68.1676005488
742	68.1225824504
742	68.1225824504
742	68.1225824504
742	68.1225824504
742	68.1225824504
742	68.1225824504
742	68.1225824504
742	68.1225824504
742	68.1225824504
742	68.1225824504
743	68.0775940821
743	68.0775940821
743	68.0775940821
743	68.0775940821
743	68.0775940821
743	68.0775940821
743	68.0775940821
743	68.0775940821
743	68.0775940821
743	68.0775940821
744	68.0326354243
744	68.0326354243
744	68.0326354243
744	68.0326354243
744	68.0326354243
744	68.0326354243
744	68.0326354243
744	68.0326354243
744	68.0326354243
744	68.0326354243
745	67.9877064573
745	67.9877064573
745	67.9877064573
745	67.9877064573
745	67.9877064573
745	67.9877064573
745	67.9877064573
745	67.9877064573
745	67.9877064573
745	67.9877064573
746	67.9428071616
746	67.9428071616
746	67.9428071616
746	67.9428071616
746	67.9428071616
746	67.9428071616
746	67.9428071616
746	67.9428071616
746	67.9428071616
746	67.9428071616
747	67.8979375174
747	67.8979375174
747	67.8979375174
747	67.8979375174
747	67.8979375174
747	67.8979375174
747	67.8979375174
747	67.8979375174
747	67.8979375174
747	67.8979375174
748	67.8530975054
748	67.8530975054
748	67.8530975054
748	67.8530975054
748	67.8530975054
748	67.8530975054
748	67.8530975054
748	67.8530975054
748	67.8530975054
748	67.8530975054
749	67.8082871058
749	67.8082871058
749	67.8082871058
749	67.8082871058
749	67.8082871058
749	67.8082871058
749	67.8082871058
749	67.8082871058
749	67.8082871058
749	67.8082871058
750	67.7635062991
750	67.7635062991
750	67.7635062991
750	67.7635062991
750	67.7635062991
750	67.7635062991
750	67.7635062991
750	67.7635062991
750	67.7635062991
750	67.7635062991
751	67.7187550659
751	67.7187550659
751	67.7187550659
751	67.7187550659
751	67.7187550659
751	67.7187550659
751	67.7187550659
751	67.7187550659
751	67.7187550659
751	67.7187550659
752	67.6740333864
752	67.6740333864
752	67.6740333864
752	67.6740333864
752	67.6740333864
752	67.6740333864
752	67.6740333864
752	67.6740333864
752	67.6740333864
752	67.6740333864
753	67.6293412414
753	67.6293412414
753	67.6293412414
753	67.6293412414
753	67.6293412414
753	67.6293412414
753	67.6293412414
753	67.6293412414
753	67.6293412414
753	67.6293412414
754	67.5846786111
754	67.5846786111
754	67.5846786111
754	67.5846786111
754	67.5846786111
754	67.5846786111
754	67.5846786111
754	67.5846786111
754	67.5846786111
754	67.5846786111
755	67.5400454762
755	67.5400454762
755	67.5400454762
755	67.5400454762
755	67.5400454762
755	67.5400454762
755	67.5400454762
755	67.5400454762
755	67.5400454762
755	67.5400454762
756	67.4954418172
756	67.4954418172
756	67.4954418172
756	67.4954418172
756	67.4954418172
756	67.4954418172
756	67.4954418172
